Tên vật phẩm,Bản đồ,Hình ảnh,Tốc độ di chuyển,Máu,Tỉ lệ chí mạng,Sát thương phép,Năng lượng,Giáp,Kháng phép,Sát thương vật lý,Tốc độ đánh,Hút máu,Hồi máu,Tỉ lệ tốc độ di chuyển,Giá nâng cấp,Giá mua,Giá bán,Giá trị chỉ số,Hiệu quả,Chỉ số
Kiếm Dài,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1036.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,350,350,245,200.0,0.5714285714285714,"Sát thương vật lý: 10.0 
"
Cuốc Chim,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1037.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,875,875,613,500.0,0.5714285714285714,"Sát thương vật lý: 25.0 
"
Cuốc Chim,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1037.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,875,875,613,500.0,0.5714285714285714,"Sát thương vật lý: 25.0 
"
Cuốc Chim,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1037.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,875,875,613,500.0,0.5714285714285714,"Sát thương vật lý: 25.0 
"
Kiếm B.F.,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1038.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1300,1300,910,800.0,0.6153846153846154,"Sát thương vật lý: 40.0 
"
Kiếm B.F.,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1038.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1300,1300,910,800.0,0.6153846153846154,"Sát thương vật lý: 40.0 
"
Kiếm B.F.,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1038.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1300,1300,910,800.0,0.6153846153846154,"Sát thương vật lý: 40.0 
"
Dao Găm Băng Giá,,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1039.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,350,140,0.0,0.0,
Dao Găm Hắc Thạch,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,350,140,0.0,0.0,
Dao Găm,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1042.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,300,300,210,300.0,1.0,"Tốc độ đánh: 0.12 
"
Dao Găm,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1042.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,300,300,210,300.0,1.0,"Tốc độ đánh: 0.12 
"
Dao Găm,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1042.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,300,300,210,300.0,1.0,"Tốc độ đánh: 0.12 
"
Cung Gỗ,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1043.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,400,700,490,375.0,0.5357142857142857,"Tốc độ đánh: 0.15 
"
Cung Gỗ,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1043.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,400,700,490,375.0,0.5357142857142857,"Tốc độ đánh: 0.15 
"
Cung Gỗ,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1043.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,400,700,490,375.0,0.5357142857142857,"Tốc độ đánh: 0.15 
"
Sách Cũ,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1052.png,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435,435,305,200.0,0.45977011494252873,"Sát thương phép: 20.0 
"
Sách Cũ,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1052.png,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435,435,305,200.0,0.45977011494252873,"Sát thương phép: 20.0 
"
Sách Cũ,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1052.png,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435,435,305,200.0,0.45977011494252873,"Sát thương phép: 20.0 
"
Huyết Trượng,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1053.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.07,0.0,0.0,550,900,630,1200.0,1.3333333333333333,"Sát thương vật lý: 15.0 
 Hút máu: 0.07 
"
Huyết Trượng,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1053.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.07,0.0,0.0,550,900,630,1200.0,1.3333333333333333,"Sát thương vật lý: 15.0 
 Hút máu: 0.07 
"
Huyết Trượng,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1053.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.07,0.0,0.0,550,900,630,1200.0,1.3333333333333333,"Sát thương vật lý: 15.0 
 Hút máu: 0.07 
"
Khiên Doran,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1054.png,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,450,450,180,318.0,0.7066666666666667,"Máu: 80.0 
 Hồi máu: 0.8 
"
Khiên Doran,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1054.png,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,450,450,180,318.0,0.7066666666666667,"Máu: 80.0 
 Hồi máu: 0.8 
"
Khiên Doran,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1054.png,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,450,450,180,318.0,0.7066666666666667,"Máu: 80.0 
 Hồi máu: 0.8 
"
Kiếm Doran,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1055.png,0.0,80.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,450,450,180,288.0,0.64,"Máu: 80.0 
 Sát thương vật lý: 8.0 
"
Kiếm Doran,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1055.png,0.0,80.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,450,450,180,288.0,0.64,"Máu: 80.0 
 Sát thương vật lý: 8.0 
"
Kiếm Doran,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1055.png,0.0,80.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,450,450,180,288.0,0.64,"Máu: 80.0 
 Sát thương vật lý: 8.0 
"
Nhẫn Doran,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1056.png,0.0,70.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,400,160,262.0,0.655,"Máu: 70.0 
 Sát thương phép: 15.0 
"
Nhẫn Doran,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1056.png,0.0,70.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,400,160,262.0,0.655,"Máu: 70.0 
 Sát thương phép: 15.0 
"
Nhẫn Doran,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1056.png,0.0,70.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,400,160,262.0,0.655,"Máu: 70.0 
 Sát thương phép: 15.0 
"
Áo Choàng Bạc,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1057.png,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,450,900,630,900.0,1.0,"Kháng phép: 50.0 
"
Áo Choàng Bạc,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1057.png,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,450,900,630,900.0,1.0,"Kháng phép: 50.0 
"
Áo Choàng Bạc,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1057.png,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,450,900,630,900.0,1.0,"Kháng phép: 50.0 
"
Gậy Quá Khổ,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1058.png,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250,1250,875,600.0,0.48,"Sát thương phép: 60.0 
"
Gậy Quá Khổ,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1058.png,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250,1250,875,600.0,0.48,"Sát thương phép: 60.0 
"
Gậy Quá Khổ,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1058.png,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250,1250,875,600.0,0.48,"Sát thương phép: 60.0 
"
Phong Ấn Hắc Ám,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1082.png,0.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,350,140,214.0,0.6114285714285714,"Máu: 40.0 
 Sát thương phép: 15.0 
"
Lưỡi Hái,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1083.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,450,450,180,140.0,0.3111111111111111,"Sát thương vật lý: 7.0 
"
Linh Hồn Hỏa Khuyển,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1101.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,450,180,0.0,0.0,
Linh Hồn Hỏa Khuyển,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1101.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,450,180,0.0,0.0,
Linh Hồn Phong Hồ,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1102.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,450,180,0.0,0.0,
Linh Hồn Phong Hồ,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1102.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,450,180,0.0,0.0,
Linh Hồn Mộc Long,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1103.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,450,180,0.0,0.0,
Linh Hồn Mộc Long,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1103.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,450,180,0.0,0.0,
Mắt Sứ Giả,,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1104.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Đạn Xuyên Phá,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1500.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Đạn Xuyên Phá,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1500.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Đạn Xuyên Phá,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1500.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Kiên Cố,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1501.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Kiên Cố,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1501.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Kiên Cố,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1501.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Giáp Cường Hóa,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1502.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Giáp Cường Hóa,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1502.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Giáp Cường Hóa,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1502.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Mắt Giám Sát,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1503.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Mắt Giám Sát,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1503.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Mắt Giám Sát,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1503.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Tiên Phong,,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1504.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Cột Thu Lôi,,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1505.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Giáp Cường Hóa,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1506.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Giáp Cường Hóa,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1506.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Giáp Cường Hóa,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1506.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Rệu Rã,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1507.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Rệu Rã,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1507.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Rệu Rã,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1507.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
Tất Kháng Trụ,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1508.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,
